CSV原始值,出现次数,对应Reference Number（前5个）,建议操作
STR,86,CN2501310-A; CN2501351-A; CN2501374-A; CN2502013-AS; CN2502214-A,请提供正确的港口代码（如GBFXT）以便系统匹配
JFK,13,CN2506189-A; CN2506428-A; CN2506428-A1; CN2506609-A; CN2507319-A,请提供正确的港口代码（如GBFXT）以便系统匹配
MAA,10,CN2504225-A; CN2504354-A; CN2504452-A; CN2505061-A; CN2505189-A,请提供正确的港口代码（如GBFXT）以便系统匹配
BUD,9,CN2504393-A; CN2507159-A; CN2507172-A; CN2507173-A; CN2507193-A,请提供正确的港口代码（如GBFXT）以便系统匹配
ALG,7,CN2502151-A; CN2502487-A; CN2503529-A; CN2505278-A; CN2505455-A,请提供正确的港口代码（如GBFXT）以便系统匹配
SGN,7,CN2502173-A; CN2502354-A; CN2502369-A; CN2504213-A; CN2504522-A,请提供正确的港口代码（如GBFXT）以便系统匹配
MEL,7,CN2507191-AS; CN2507453-A; CN2510236-S; CN2510342-A; CN2511540-A,请提供正确的港口代码（如GBFXT）以便系统匹配
ABJ,6,CN2503025-A; CN2503148-A; CN2504472-A; CN2508092-AS; CN2509380-A,请提供正确的港口代码（如GBFXT）以便系统匹配
AMM,6,CN2512150-A; CN2512252-A; CN2512315-A; CN2512319-A; CN2512466-A,请提供正确的港口代码（如GBFXT）以便系统匹配
IAH,5,CN2506115-AS; CN2506555-AS; CN2508209-A; CN2508563-AS; CN2512689-A,请提供正确的港口代码（如GBFXT）以便系统匹配
SYD,4,CN2502393-A; CN2504278-A; CN2510181-AS; CN2510236-S,请提供正确的港口代码（如GBFXT）以便系统匹配
ORD,4,CN2505471-A; CN2506479-A; CN2510584-A; CN2511683-A,请提供正确的港口代码（如GBFXT）以便系统匹配
LPB,4,CN2509470-A; CN2510325-A; CN2512223-A; CN2602181-A,请提供正确的港口代码（如GBFXT）以便系统匹配
MIA,4,CN2509505-A; CN2509587-A; CN2511252-A; CN2511403-A,请提供正确的港口代码（如GBFXT）以便系统匹配
100027 Beijing,4,CN2511045-A; CN2511045-A1; CN2511045-A2; CN2511615-A,请提供正确的港口代码（如GBFXT）以便系统匹配
LAX,3,CN2501083-A; CN2505253-A1; CN2511484-A,请提供正确的港口代码（如GBFXT）以便系统匹配
JAX,3,CN2501167-A; CN2501237-A; CN2505477-A,请提供正确的港口代码（如GBFXT）以便系统匹配
HEL,3,CN2502059-A; CN2502059-A1; CN2505423-A,请提供正确的港口代码（如GBFXT）以便系统匹配
215151 SUZHOU,3,CN2505171-A; CN2510268-A; CN2512508-A,请提供正确的港口代码（如GBFXT）以便系统匹配
BAH,3,CN2506355-A; CN2509088-A; CN2509176-A,请提供正确的港口代码（如GBFXT）以便系统匹配
LEH,3,CN2507263-S; CN2507265-S; CN2511482-A,请提供正确的港口代码（如GBFXT）以便系统匹配
LAS,3,CN2511108-A; CN2512336-A; CN2512604-A,请提供正确的港口代码（如GBFXT）以便系统匹配
519085 Zhuhai,2,CN2501316-A1; CN2501316-A2,请提供正确的港口代码（如GBFXT）以便系统匹配
523873 Dongguan,2,CN2501437-A; CN2507575-A,请提供正确的港口代码（如GBFXT）以便系统匹配
200233 Shanghai,2,CN2502133-A; CN2512289-A,请提供正确的港口代码（如GBFXT）以便系统匹配
Chengdu 611731,2,CN2503204-A; CN2503370-A,请提供正确的港口代码（如GBFXT）以便系统匹配
266510 QINGDAO,2,CN2503403-A; CN2507464-A,请提供正确的港口代码（如GBFXT）以便系统匹配
519085 ZHUHAI,2,CN2503498-A; CN2511585-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Wenzhou 325103,2,CN2503602-A; CN2507667-A,请提供正确的港口代码（如GBFXT）以便系统匹配
SFO,2,CN2504076-A; CN2505016-A,请提供正确的港口代码（如GBFXT）以便系统匹配
VVI,2,CN2504078-A; CN2509470-A,请提供正确的港口代码（如GBFXT）以便系统匹配
BOM,2,CN2504147-A; CN2504624-A,请提供正确的港口代码（如GBFXT）以便系统匹配
CCU,2,CN2504321-A; CN2504353-A,请提供正确的港口代码（如GBFXT）以便系统匹配
CPH,2,CN2505510-A; CN2506413-A,请提供正确的港口代码（如GBFXT）以便系统匹配
PRG,2,CN2505612-A; CN2601177-A,请提供正确的港口代码（如GBFXT）以便系统匹配
